startip,endip,country,carrier
20037120,20037631,贵州省贵阳市,电信
20037632,20054015,贵州省安顺市,电信
20054016,20119551,宁夏,电信
20119552,20123647,北京市,教育网
20123648,20127743,江苏省南京市,南京艺术学院教育网
20127744,20133887,江苏省常州市,常州大学教育网
20133888,20135935,江苏省南京市,江苏第二师范学院教育网
20135936,20148223,安徽省合肥市,教育网
20148224,20150271,安徽省滁州市,滁州职业技术学院教育网
20150272,20152319,安徽省合肥市,合肥师范学院教育网
20152320,20156415,江苏省,教育网
20156416,20160511,山东省济南市,山东女子学院教育网
20160512,20162559,山东省潍坊市,潍坊学院教育网
20162560,20168703,山东省德州市,德州学院教育网
20168704,20185087,山东省济南市,山东大学教育网
20185088,20447231,越南,河内
20447232,20463615,黑龙江省鹤岗市,联通
20463616,20472319,黑龙江省哈尔滨市,联通
20472320,20472575,黑龙江省哈尔滨市依兰县,联通
20472576,20479999,黑龙江省哈尔滨市,联通
20480000,20505343,黑龙江省牡丹江市,联通
20505344,20505599,黑龙江省牡丹江市海林市,联通
20505600,20506111,黑龙江省牡丹江市,联通
20506112,20506367,黑龙江省牡丹江市海林市,联通
20506368,20509695,黑龙江省牡丹江市,联通
20509696,20509951,黑龙江省牡丹江市东宁县,联通
20509952,20512767,黑龙江省牡丹江市,联通
20512768,20513023,黑龙江省绥化市,联通
20513024,20513279,黑龙江省绥化市安达市,联通
20513280,20514303,黑龙江省绥化市,联通
20514304,20514559,黑龙江省绥化市青冈县,联通
20514560,20516863,黑龙江省绥化市,联通
20516864,20517119,黑龙江省绥化市绥棱县,联通
20517120,20518399,黑龙江省绥化市,联通
20518400,20518655,黑龙江省绥化市海伦市,联通
20518656,20520959,黑龙江省绥化市,联通
20520960,20521215,黑龙江省绥化市望奎县,联通
20521216,20521471,黑龙江省绥化市,联通
20521472,20521727,黑龙江省绥化市肇东市,联通
20521728,20527359,黑龙江省绥化市,联通
20527360,20527871,黑龙江省绥化市海伦市,联通
20527872,20528895,黑龙江省绥化市,联通
20528896,20529151,黑龙江省绥化市北林区,联通
20529152,20534015,黑龙江省齐齐哈尔市,联通
20534016,20534271,黑龙江省齐齐哈尔市拜泉县,联通
20534272,20535295,黑龙江省齐齐哈尔市,联通
20535296,20535551,黑龙江省齐齐哈尔市泰来县,联通
20535552,20536575,黑龙江省齐齐哈尔市,联通
20536576,20536831,黑龙江省齐齐哈尔市泰来县,联通
20536832,20537855,黑龙江省齐齐哈尔市,联通
